k_value,cluster,nCIJtree,mdeg,gce,costmax,E,strategy,data_type
4,1,,,,,,A_positive,stim
4,2,,,,,,A_positive,stim
4,3,,,,,,A_positive,stim
4,4,,,,,,A_positive,stim
4,1,,,,,,A_negative,stim
4,2,,,,,,A_negative,stim
4,3,,,,,,A_negative,stim
4,4,,,,,,A_negative,stim
4,1,,,,,,B,stim
4,2,,,,,,B,stim
4,3,,,,,,B,stim
4,4,,,,,,B,stim
7,1,,,,,,A_positive,resting
7,2,,,,,,A_positive,resting
7,3,,,,,,A_positive,resting
7,4,,,,,,A_positive,resting
7,5,,,,,,A_positive,resting
7,6,,,,,,A_positive,resting
7,7,,,,,,A_positive,resting
7,1,,,,,,A_negative,resting
7,2,,,,,,A_negative,resting
7,3,,,,,,A_negative,resting
7,4,,,,,,A_negative,resting
7,5,,,,,,A_negative,resting
7,6,,,,,,A_negative,resting
7,7,,,,,,A_negative,resting
7,1,,,,,,B,resting
7,2,,,,,,B,resting
7,3,,,,,,B,resting
7,4,,,,,,B,resting
7,5,,,,,,B,resting
7,6,,,,,,B,resting
7,7,,,,,,B,resting
